Date,Open,High,Low,Close,Volume
2010-01-04,143.37462091008456,145.4986839662263,141.78156686574647,144.70216369628906,5677267
2010-01-05,146.11819738853404,159.12811244781858,145.1446607257836,155.05697631835938,32066373
2010-01-06,155.63223280225114,155.67647341392336,149.34852643633107,151.38409423828125,18459749
2010-01-07,155.01272583007812,156.4287767355512,152.13638340071157,155.01272583007812,15284125
2010-01-08,154.8799574444443,156.56150586634263,152.6673866238094,153.3754119873047,10197755
2010-01-11,154.4374634471125,156.3845233226306,150.98585791798774,151.95938110351562,11270777
2010-01-12,152.2248795432963,153.1099079127341,147.35722351138858,148.55201721191406,14443143
2010-01-13,145.98543690559396,152.40189302652166,145.4101738275715,151.4726104736328,16146039
2010-01-14,152.22488480217518,153.02140496040192,150.01231380214358,151.2071075439453,7547095
2010-01-15,151.3398437192317,152.0036149636143,146.69344500855354,147.4457244873047,4959476
2010-01-18,147.09172875974718,149.48130292373867,146.3837032840742,148.02101135253906,7243749
2010-01-19,146.9147290188842,149.52556035778503,143.3746150666219,144.2596435546875,7199947
2010-01-20,144.25962293345825,147.93248523212688,143.9056169906207,146.69345092773438,8116917
2010-01-21,146.02968244292032,146.69345372675178,143.10908609316965,144.1268768310547,12563207
2010-01-22,141.69304621211643,144.34813129913076,137.40065325299213,142.79933166503906,13929809
2010-01-25,142.5780769112574,146.64919934206026,139.17071225862574,140.89651489257812,16233827
2010-01-27,138.5069219784217,139.3034420065458,131.5594447713305,132.79849243164062,11669010
2010-01-28,133.32952708232128,138.3741999181472,129.03714731544716,130.9842071533203,10480370
2010-01-29,130.0991549934605,131.86921152398378,123.72695418446865,130.40892028808594,12497942
2010-02-01,128.32913137858773,134.08181657831753,125.85104889934996,132.22325134277344,11674392
2010-02-02,134.52430693227834,137.84316318883126,132.975507345887,133.68353271484375,17608116
2010-02-03,134.61279806779922,139.3476909563348,134.61279806779922,138.28565979003906,8298172
2010-02-04,130.09914214593604,137.17936756884413,127.62106054702656,129.34686279296875,9673582
2010-02-05,126.02804099377211,126.95732353114859,120.62937576068454,122.26667022705078,14972307
2010-02-08,121.24888077003783,127.26707609309241,118.32828459074335,120.54085540771484,19708455
2010-02-09,121.24889424863971,122.3551797801054,118.19554888268682,118.94781494140625,18330897
2010-02-10,120.36388221153845,124.56776780348557,119.47885366586537,120.806396484375,14882092
2010-02-11,121.47016556310395,124.21375940383747,121.24890843093071,122.35519409179688,7393889
2010-02-15,123.01894966018997,125.40852367931568,121.82415589839619,124.65625762939453,10201088
2010-02-16,125.58552140530638,129.65665734488243,123.46145870041707,128.68312072753906,8799233
2010-02-17,130.89568695465618,137.00239064394148,130.49742689989995,135.18807983398438,17420796
2010-02-18,135.7633709061357,137.0024189490426,133.01979056973593,135.05535888671875,19301034
2010-02-19,133.63929290015335,134.74557843740627,129.56815672127775,132.66575622558594,16060506
2010-02-22,134.43582513666038,138.50696168049214,134.43582513666038,136.42713928222656,13256828
2010-02-23,135.85188629876097,138.41846376516028,134.39159455140694,137.00242614746094,11954477
2010-02-24,136.29435405115927,140.18847305083708,134.4357892759505,137.17938232421875,14604618
2010-02-25,138.06442064464824,138.90519486434852,134.6128155303163,135.71910095214844,10630962
2010-02-26,136.29439848096942,145.9412044002394,135.719135317738,143.94989013671875,22690392
2010-03-02,145.14466215553452,152.93291502087027,144.7906561862083,149.7910614013672,16002606
2010-03-03,150.45482495022537,152.8001447609002,149.2600312326596,151.7381134033203,12093085
2010-03-04,151.33988024375466,151.33988024375466,147.93251496513608,149.746826171875,9418953
2010-03-05,149.56978171212333,152.66738074166435,148.15373103969196,148.68475341796875,8038800
2010-03-08,150.54332390201967,151.42835222947548,146.16242287754488,147.09170532226562,6279658
2010-03-09,148.50779484927187,148.50779484927187,142.93211222862465,143.463134765625,7726110
2010-03-10,144.25962131379958,146.2066809864679,142.26830752265818,143.99411010742188,6348450
2010-03-11,144.1711351131796,144.1711351131796,139.96724980043507,141.38330078125,8638775
2010-03-12,142.31255842366826,147.4899660609063,141.42753009205896,146.0739288330078,13238296
2010-03-15,146.02970208836777,148.68478758088355,143.90563909614042,146.60496520996094,8289897
2010-03-16,141.9585321267818,150.7645744042228,141.9585321267818,150.05654907226562,7951866
2010-03-17,149.83531612275928,154.614464250083,149.83531612275928,153.5081787109375,11135993
2010-03-18,154.87995914953646,157.3580411968212,152.7116424223351,156.0747528076172,9317430
2010-03-19,156.29602390071972,157.4465500396678,154.26045583998842,155.41099548339844,5724048
2010-03-22,153.99494643331101,154.74722599870685,149.21579832509656,149.7910614013672,6053740
2010-03-23,150.54333654096766,151.95937388110482,148.77327973744994,150.85308837890625,5860011
2010-03-25,150.27783091088568,159.3051182438091,149.65831370749666,157.2252960205078,19185843
2010-03-26,157.5350731798395,159.70339030642216,156.25178455426715,158.11033630371094,6747907
2010-03-29,150.63185902540997,164.57105892076407,150.63185902540997,163.06651306152344,11598451
2010-03-30,163.55324386433614,165.411795320335,162.3141960558758,162.80096435546875,8173731
2010-03-31,162.84523572198276,163.99577541438927,158.95111592172034,160.41140747070312,10320209
2010-04-01,161.0751476469494,163.46472131224843,159.83611345144914,162.6239471435547,5545989
2010-04-05,162.84521549566088,166.34107475785493,162.75670725936806,165.7215576171875,5644992
2010-04-06,165.72157112455287,166.73934840257178,162.62397166428087,163.37625122070312,4279282
2010-04-07,163.37625122070312,165.19054867243577,161.69468912530687,163.37625122070312,4052396
2010-04-08,163.46475003237595,163.73026126504956,155.45523995608514,156.20751953125,7047391
2010-04-09,156.6500338757059,160.01314464850617,156.6500338757059,158.2430877685547,4913419
2010-04-12,159.74762428484743,170.81047915221913,158.42008170076284,159.5263671875,5309602
