Date,ASHOKLEY.NS,BAJAJHFL.NS,BANKBARODA.NS,CENTRALBK.NS,DLF.NS,EASEMYTRIP.NS,HINDALCO.NS,IDFCFIRSTB.NS,IOB.NS,IRFC.NS,ITC.NS,JIOFIN.NS,NBCC.NS,NHPC.NS,OLAELEC.NS,OMINFRAL.NS,PNB.NS,RVNL.NS,RAMASTEEL.NS,RTNINDIA.NS,RECLTD.NS,RPOWER.NS,SBISENSEX.BO,SETFNIF50.NS,SJVN.NS,SUZLON.NS,TATACHEM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,UCOBANK.NS,IDEA.NS
2010-01-04,18.007938385009766,,80.80594635009766,123.59500122070312,314.56622314453125,,144.70216369628906,,94.34809875488281,,57.26738357543945,,,17.846092224121094,,,152.0830535888672,,,,35.0452995300293,152.87503051757812,,,,82.50152587890625,72.57536315917969,152.1953125,104.48906707763672,19.329818725585938,46.756629943847656,34.55012512207031
2010-01-05,17.784128189086914,,83.14065551757812,120.63763427734375,318.7507019042969,,155.05697631835938,,95.80794525146484,,57.83182144165039,,,17.997753143310547,,,154.43292236328125,,,,35.27983856201172,157.1855010986328,,,,84.88887786865234,73.63558197021484,149.54347229003906,106.011962890625,19.798006057739258,46.63205337524414,35.76709747314453
2010-01-06,17.81856346130371,,83.64990997314453,124.32476043701172,326.60186767578125,,151.38409423828125,,96.0165023803711,,57.96727752685547,,,18.326366424560547,,,153.70167541503906,,,,34.4980583190918,155.7160186767578,,,,85.66936492919922,73.3007583618164,149.77366638183594,110.93033599853516,19.58297348022461,47.545589447021484,36.39042663574219
2010-01-07,18.19731330871582,,84.15131378173828,122.5964126586914,323.107666015625,,155.01272583007812,,95.72452545166016,,57.78666305541992,,,17.997753143310547,,,151.59011840820312,,,,34.2706184387207,156.30381774902344,,,,84.42977142333984,71.78297424316406,144.65411376953125,111.38907623291016,19.819351196289062,47.62864685058594,36.24201202392578
2010-01-08,18.403905868530273,,84.48819732666016,122.2507553100586,336.394287109375,,153.3754119873047,,95.3908462524414,,57.91084289550781,,,17.871362686157227,,,151.81195068359375,,,,34.17823028564453,156.79364013671875,,,,85.11843872070312,70.77855682373047,145.44601440429688,111.32891082763672,19.778179168701172,47.171875,35.9451904296875
2010-01-11,18.180097579956055,,85.60855865478516,122.32755279541016,344.6337890625,,151.95938110351562,,96.09992218017578,,57.93341827392578,,,17.74498176574707,,,156.076171875,,,,35.94791793823242,158.55702209472656,,,,87.00077056884766,71.35889434814453,145.5104522705078,111.3026123046875,19.779701232910156,47.462547302246094,36.83565902709961
2010-01-12,18.21453285217285,,84.6919174194336,119.8310775756836,331.26080322265625,,148.55201721191406,,93.38875579833984,,56.45459747314453,,,17.466920852661133,,,152.1734619140625,,,,35.905277252197266,153.90367126464844,,,,84.5675048828125,69.24958038330078,144.80145263671875,111.98695373535156,19.079710006713867,46.299861907958984,34.846946716308594
2010-01-13,18.765443801879883,,84.29235076904297,117.02732849121094,334.6256103515625,,151.4726104736328,,92.2625961303711,,56.20625305175781,,,17.669147491455078,,,151.13819885253906,,,,36.345909118652344,154.491455078125,,,,85.3938980102539,70.35446166992188,144.55284118652344,112.04334259033203,19.49757194519043,45.760040283203125,35.11408996582031
2010-01-14,19.350786209106445,,85.27167510986328,118.14115142822266,330.6999816894531,,151.2071075439453,,92.2625961303711,,56.025638580322266,,,17.69442367553711,,,151.67227172851562,,,,38.62019729614258,156.30381774902344,,,,83.7411117553711,70.44373321533203,144.0372314453125,109.52777099609375,19.75530242919922,46.1752815246582,35.559326171875
2010-01-15,18.903173446655273,,84.46471405029297,119.29337310791016,333.288330078125,,147.4457244873047,,92.01233673095703,,57.06419372558594,,,17.82080841064453,,,149.28955078125,,,,38.07294845581055,156.05889892578125,,,,81.8128662109375,69.67366790771484,146.8087615966797,109.54280090332031,19.677526473999023,48.708282470703125,35.20313262939453
2010-01-18,19.178625106811523,,85.77308654785156,121.86668395996094,334.1510925292969,,148.02101135253906,,92.05404663085938,,56.567474365234375,,,17.69442367553711,,,151.13819885253906,,,,37.00688552856445,156.35279846191406,,,,82.77699279785156,70.8678207397461,149.32247924804688,108.53882598876953,19.444196701049805,52.320919036865234,34.96567916870117
2010-01-19,18.834308624267578,,86.96394348144531,120.17675018310547,327.5940856933594,,144.2596435546875,,94.93203735351562,,56.420738220214844,,,17.517478942871094,,,151.18746948242188,,,,37.639408111572266,153.560791015625,,,,80.0682601928711,70.66693878173828,148.55825805664062,106.72639465332031,19.448768615722656,51.8226203918457,34.31266784667969
2010-01-20,19.126983642578125,,88.14696502685547,121.52101135253906,322.4173278808594,,146.69345092773438,,93.55560302734375,,55.78856658935547,,,17.56803321838379,,,152.56785583496094,,,,37.4475212097168,153.70773315429688,,,,79.1500473022461,69.85224151611328,148.23597717285156,106.86929321289062,19.938304901123047,51.158233642578125,34.520442962646484
2010-01-21,18.47277069091797,,86.19613647460938,118.87090301513672,313.6602478027344,,144.1268768310547,,91.01129913330078,,55.2015495300293,,,17.11302947998047,,,148.57473754882812,,,,37.724693298339844,149.83810424804688,,,,76.02811431884766,69.41698455810547,144.147705078125,102.02986145019531,19.76445198059082,50.120113372802734,34.342350006103516
2010-01-22,18.02515411376953,,85.7574234008789,118.14115142822266,304.3424072265625,,142.79933166503906,,88.88407897949219,,56.24013137817383,,,17.08775520324707,,,147.8106231689453,,,,36.89316940307617,147.4379425048828,,,,72.90618896484375,69.32769775390625,143.28216552734375,100.32649993896484,19.049211502075195,49.20657730102539,36.83565902709961
