Date,Open,High,Low,Close,Volume
2010-01-04,126.74440485507999,128.05025581467285,123.01889617712705,123.59500122070312,1300300
2010-01-05,125.01608244209531,126.62918767150317,120.1383358645886,120.63763427734375,539489
2010-01-06,121.36738690762957,126.51397086036343,121.36738690762957,124.32476043701172,995361
2010-01-07,124.82404010488445,124.97768098761614,121.82826336283844,122.5964126586914,315543
2010-01-08,122.90368083459728,124.05590478015698,121.52100934403536,122.2507553100586,210860
2010-01-11,123.24932912681848,125.05447846149946,121.75144775557385,122.32755279541016,193301
2010-01-12,122.90367460818216,123.59500342871405,119.21655541329375,119.8310775756836,177839
2010-01-13,118.33317944161261,119.75425415580861,115.99034217596287,117.02732849121094,360419
2010-01-14,117.91070389593963,119.60062950026408,117.21937507854119,118.14115142822266,161735
2010-01-15,118.98611892350544,123.9406718788712,117.91070171918817,119.29337310791016,401230
2010-01-18,118.67886291301961,122.78846038546705,118.29478825410442,121.86668395996094,346797
2010-01-19,122.8268555068511,123.28775057852035,119.52382468454127,120.17675018310547,234860
2010-01-20,121.59783179529329,122.67323531714277,119.06293631727483,121.52101135253906,243796
2010-01-21,120.59923203066894,121.36738132189467,117.56505197594325,118.87090301513672,205144
2010-01-22,114.06996451244999,119.8310770325471,112.3032253606063,118.14115142822266,262057
2010-01-25,116.68167114257812,118.67885089909042,114.8381115884646,116.68167114257812,454816
2010-01-27,115.22219254382479,119.44700670678098,112.22641585461271,113.72430419921875,355630
2010-01-28,114.83811370520505,121.67462966633781,114.45403907809053,118.21797180175781,398052
2010-01-29,115.37583248454818,118.21798221977117,112.91775741028644,115.22219848632812,590122
2010-02-01,115.41423042784376,116.45123058607399,113.68590142394378,114.0699691772461,351488
2010-02-02,116.60484981562564,119.0629246091741,111.45825959210394,112.80252075195312,599320
2010-02-03,114.06996968365196,114.60767832011351,112.53367799444567,113.22501373291016,190587
2010-02-04,112.91775741028644,115.68308670153645,112.91775741028644,115.22219848632812,316273
2010-02-05,112.91775428061158,115.26060551370432,109.07701466717636,114.26200866699219,257510
2010-02-08,112.91776372694372,118.14116838465446,111.76553967960413,115.7983169555664,365202
2010-02-09,113.95474871509701,122.48118347525194,113.95474871509701,121.44418334960938,899725
2010-02-10,122.36597401131593,124.82403512463158,121.5594076372349,123.13410949707031,833943
2010-02-11,122.90368090295253,124.70883037405488,120.67605345207872,122.17393493652344,172767
2010-02-15,122.13553160548551,122.94208423399046,121.5210094116216,122.17393493652344,101655
2010-02-16,122.59642226540461,128.74161711376865,122.17394425341531,126.24512481689453,755165
2010-02-17,127.51256588024316,128.28071519561345,125.89946058563655,127.090087890625,331346
2010-02-18,126.74440742361001,126.74440742361001,124.43995964370417,124.55518341064453,71174
2010-02-19,124.7856389581567,125.5153849358258,118.41001071454015,121.59783172607422,150924
2010-02-22,122.17392315620386,125.89944551174946,120.06151968157855,121.36737060546875,132902
2010-02-23,120.59923094696293,122.44278371755797,119.9463054332334,120.63763427734375,64023
2010-02-24,119.56223524015809,120.56083210282763,114.33883093595124,114.9533462524414,428484
2010-02-25,116.9505199848373,116.9505199848373,112.91774343363602,113.37863159179688,464523
2010-02-26,112.8409407284935,117.60345674679706,111.3814556793472,114.26200866699219,456015
2010-03-02,117.52663056700762,121.09852601850353,117.14255593544301,118.48682403564453,163060
2010-03-03,118.67885293244686,123.67182307844904,118.67885293244686,121.17533111572266,470354
2010-03-04,122.7884678511155,124.28634946634108,120.7144673227627,122.21234893798828,395900
2010-03-05,122.94207305184955,123.97907313116502,121.94347630007907,122.98047637939453,262326
2010-03-08,125.40016234929207,127.12849142185893,123.47978905785573,124.47838592529297,300402
2010-03-09,124.55519555853766,125.40016533869351,122.98049355585623,124.59361267089844,141516
2010-03-10,122.94207188264568,125.20810243690121,120.29196671824258,122.28914642333984,308515
2010-03-11,121.98189189835476,124.36314620679349,119.25496630793621,120.09992218017578,274748
2010-03-12,120.59922775111316,121.67463120888713,117.98752576540446,118.33318328857422,145095
2010-03-15,119.48540382807283,121.21374651317409,115.45263408497914,116.10555267333984,249528
2010-03-16,115.99033731007286,119.06292035770574,115.99033731007286,117.641845703125,101471
2010-03-17,117.52664147812825,119.13976059224116,115.22220036452273,115.83671569824219,330585
2010-03-18,116.14397269603697,118.21797294665106,114.0699655556975,116.29759979248047,384401
2010-03-19,116.75847970294524,117.14255432924361,115.41422540062624,116.02874755859375,284374
2010-03-22,114.5308584929243,116.79689601678182,113.68589569876006,114.76129913330078,116019
2010-03-23,117.52663067043918,117.52663067043918,112.53367423515594,113.18659973144531,187138
2010-03-25,113.68589841790038,114.7228985487106,110.38286070903352,111.41986083984375,559094
2010-03-26,112.9177481002993,113.3018227295939,108.84656116361188,109.30744934082031,549835
2010-03-29,111.3814321946069,112.91773047194327,109.07699166832663,109.96035766601562,371078
2010-03-30,110.65171243860635,113.14819068205578,110.61330221912885,111.26622772216797,286362
2010-03-31,112.0727833923053,113.37863435386095,110.61329844780325,112.57207489013672,235136
2010-04-01,113.37863430037179,113.6858953763944,110.84374592506697,111.30463409423828,199260
2010-04-05,112.14959529024526,114.91493115565075,112.14959529024526,114.14678192138672,507073
